brand_name,model,prices,rating,has_5g,has_nfc,has_ir_blaster,processor_manufacturer,processor_brand,processor_model,cpu_core_type,num_core,cpu_clock_speed_ghz,ram_capacity,internal_memory,battrey_capacity,fast_charging_watt,fast_charging_supported,display_size_inches,display_resolution_width_px,display_resolution_height_px,display_refresh_rate_hz,display_notch_type,rear_camera_count,rear_cam_1,front_camers_count,front_camera_primary,memory_card_supported,memory_card_slot_type,memory_card_max_gb,os
realme,Realme 16 Pro Plus 5G (8GB+256GB),52469,,True,True,True,Qualcomm,Snapdragon,Snapdragon 7 Gen4,Octa Core,8.0,2.8,8.0,256.0,7000,80.0,True,6.8,1280,2800,144.0,Punch Hole,3.0,200,1,50,,,,Android
realme,Realme 16 Pro Plus 5G (12GB+256GB),56599,,True,True,True,Qualcomm,Snapdragon,Snapdragon 7 Gen4,Octa Core,8.0,2.8,12.0,256.0,7000,80.0,True,6.8,1280,2800,144.0,Punch Hole,3.0,200,1,50,,,,Android
realme,Realme Narzo 90x,21499,58.0,True,False,False,MediaTek,Dimensity,Dimensity 6300,Octa Core,8.0,2.4,6.0,128.0,7000,60.0,True,6.8,720,1570,144.0,Punch Hole,2.0,50,1,8,Yes,Hybrid,2048.0,Android
iqoo,iQOO Z10x,27985,57.0,True,False,True,MediaTek,Dimensity,Dimensity 7300,Octa Core,8.0,2.5,6.0,128.0,6500,44.0,True,6.72,1080,2408,120.0,Punch Hole,2.0,50,1,8,,,,Android
vivo,Vivo V50e (8GB RAM +256GB),35999,67.0,True,False,False,MediaTek,Dimensity,Dimensity 7300,Octa Core,8.0,2.5,8.0,256.0,5600,90.0,True,6.77,1080,2392,120.0,Punch Hole,2.0,50,1,50,No,Not Supported,,Android
samsung,Samsung Galaxy A36 5G (12GB RAM + 256GB),41999,67.0,True,True,False,Qualcomm,Snapdragon,Snapdragon 6 Gen3,Octa Core,8.0,2.4,12.0,256.0,5000,45.0,True,6.7,1080,2340,120.0,Punch Hole,3.0,50,1,12,,,,Android
realme,Realme 14 Pro Plus (12GB RAM + 256GB),34999,70.0,True,False,False,Qualcomm,Snapdragon,Snapdragon 7s Gen3,Octa Core,8.0,2.5,12.0,256.0,6000,80.0,True,6.83,1272,2800,120.0,Punch Hole,3.0,50,1,32,No,Not Supported,,Android
samsung,Samsung Galaxy Z Flip 6 5G,71699,,True,True,False,Qualcomm,Snapdragon,Snapdragon 8 Gen3,Octa Core,8.0,3.3,12.0,256.0,4000,25.0,True,6.7,1080,2640,120.0,Punch Hole,2.0,50,1,10,No,Not Supported,,Not Specified
realme,Realme GT 6 5G (12GB RAM + 256GB),46890,79.0,True,True,True,Qualcomm,Snapdragon,Snapdragon 8s Gen3,Octa Core,8.0,3.0,12.0,256.0,5500,120.0,True,6.78,1264,2780,120.0,Punch Hole,3.0,50,1,32,No,Not Supported,,Android
vivo,Vivo X Fold 3 Pro,124999,,True,True,True,Qualcomm,Snapdragon,Snapdragon 8 Gen3,Octa Core,8.0,3.3,16.0,512.0,5700,100.0,True,8.03,2200,2480,120.0,Punch Hole,3.0,64,2,32,No,Not Supported,,Not Specified
poco,Poco F6 5G (12GB RAM +256GB),39700,72.0,True,True,True,Qualcomm,Snapdragon,Snapdragon 8s Gen3,Octa Core,8.0,3.0,12.0,256.0,5000,90.0,True,6.67,1220,2712,120.0,Punch Hole,2.0,50,1,20,No,Not Supported,,Android
samsung,Samsung Galaxy M55,28999,62.0,True,True,False,Qualcomm,Snapdragon,Snapdragon 7 Gen1,Octa Core,8.0,2.4,8.0,128.0,5000,45.0,True,6.67,1080,2400,120.0,Punch Hole,3.0,50,1,50,Yes,Hybrid,1024.0,Android
samsung,Samsung Galaxy S24 (8GB RAM + 128GB),49999,74.0,True,True,False,Samsung,Exynos,Exynos 2400,Deca Core,10.0,3.2,8.0,128.0,4000,25.0,True,6.2,1080,2340,120.0,Punch Hole,3.0,50,1,12,,,,Android
vivo,Vivo Y28 5G,24999,54.0,True,False,False,MediaTek,Dimensity,Dimensity 6020,Octa Core,8.0,2.2,4.0,128.0,5000,15.0,True,6.56,720,1612,90.0,Water Drop Notch,2.0,50,1,8,Yes,Hybrid,1024.0,Android
motorola,Motorola Moto G84 5G,22999,62.0,True,True,False,Qualcomm,Snapdragon,Snapdragon 695,Octa Core,8.0,2.2,12.0,256.0,5000,30.0,True,6.55,1080,2400,120.0,Punch Hole,2.0,50,1,16,Yes,Hybrid,,Android
samsung,Samsung Galaxy A14 5G,18499,52.0,True,False,False,Samsung,Exynos,Exynos 1330,Octa Core,8.0,2.4,4.0,64.0,5000,15.0,True,6.6,1080,2408,90.0,Water Drop Notch,3.0,50,1,13,Yes,Dedicated,1024.0,Android
samsung,Samsung Galaxy Z Fold 4,89449,,True,True,False,Qualcomm,Snapdragon,Snapdragon  8+ Gen1,Octa Core,8.0,3.2,12.0,256.0,4400,25.0,True,7.6,1812,2176,120.0,Punch Hole,3.0,50,2,10,,,,Android
oneplus,OnePlus 10 Pro 5G,42000,74.0,True,True,False,Qualcomm,Snapdragon,Snapdragon 8 Gen1,Octa Core,8.0,3.0,8.0,128.0,5000,80.0,True,6.7,1440,3216,120.0,Punch Hole,3.0,50,1,32,,,,Android
google,Google Pixel 11 Pro XL (16GB RAM + 512GB),149999,,True,True,False,Google,Tensor,Tensor G6,,,,16.0,512.0,5115,,True,6.8,1344,2992,120.0,Punch Hole,3.0,50,1,42,,,,Android
samsung,Samsung Galaxy Z Fold 8 (12GB RAM + 512GB),194999,,True,True,False,Qualcomm,Snapdragon,Snapdragon 8 Elite Gen 5 for Galaxy,Octa Core,8.0,4.74,12.0,512.0,4800,45.0,True,7.6,1828,2448,120.0,Punch Hole,2.0,50,2,10,,,,Android
realme,Realme Narzo 100x 5G (6GB RAM + 256GB),26155,61.0,True,False,False,MediaTek,Dimensity,Dimensity 6300,Octa Core,8.0,2.4,6.0,256.0,8000,45.0,True,6.81,720,1570,144.0,Punch Hole,2.0,50,1,8,Yes,Hybrid,,Android
xiaomi,Xiaomi 17T 5G (12GB RAM + 512GB),69999,,True,True,True,MediaTek,Dimensity,Dimensity 8500 Ultra,Octa Core,8.0,3.4,12.0,512.0,6500,67.0,True,6.59,1268,2756,120.0,Punch Hole,3.0,50,1,32,,,,Android
realme,Realme 16T 5G (8GB RAM + 256GB),34999,66.0,True,False,False,MediaTek,Dimensity,Dimensity 6300,Octa Core,8.0,2.4,8.0,256.0,8000,45.0,True,6.8,720,1570,144.0,Punch Hole,2.0,50,1,16,Yes,Hybrid,2048.0,Android
ai+,Ai+ Nova Flip,49999,74.0,True,True,False,MediaTek,Dimensity,Dimensity 7300X,Octa Core,8.0,2.5,8.0,256.0,4325,,True,6.9,2790,1188,,Punch Hole,2.0,50,1,32,No,Not Supported,,Not Specified
iqoo,iQOO Z11x 5G (8GB RAM + 128GB),29000,66.0,True,False,True,MediaTek,Dimensity,Dimensity 7400 Turbo,Octa Core,8.0,2.6,8.0,128.0,7200,44.0,True,6.76,1080,2344,120.0,Punch Hole,2.0,50,1,32,,,,Android
karbonn,Karbonn K9 4G LTE,2499,,False,False,False,MediaTek,Helio,Helio,Single Core,1.0,1.0,64.0,128.0,2000,,True,2.4,128,320,,,1.0,2,1,,Yes,Hybrid,128.0,Not Specified
poco,POCO C85 5G (8GB RAM + 128GB),20985,58.0,True,True,False,MediaTek,Dimensity,Dimensity 6300,Octa Core,8.0,2.4,8.0,128.0,6000,33.0,True,6.9,720,1600,120.0,Punch Hole,2.0,50,1,8,Yes,Hybrid,1024.0,Android
motorola,Motorola Moto A100,1066,,False,False,False,Unisoc,Unisoc,Unisoc,,,0.001,4.0,36.0,800,,False,1.44,240,320,,,0.0,,1,,Yes,Dedicated,,Not Specified
realme,Realme C85 5G,20999,54.0,True,True,False,MediaTek,Dimensity,Dimensity 6300,Octa Core,8.0,2.4,4.0,128.0,7000,45.0,True,6.8,720,1570,144.0,Punch Hole,1.0,50,1,8,Yes,Dedicated,,Android
itel,itel Muzik 450,1735,,False,False,False,,,,Single Core,1.0,0.001,4.0,4.0,3000,,True,2.4,240,320,,,1.0,0.3,1,,Yes,Dedicated,32.0,Not Specified
samsung,Samsung Galaxy Z Flip 7 5G,94999,,True,True,False,Samsung,Exynos,Exynos 2500,Deca Core,10.0,3.3,12.0,256.0,4300,25.0,True,6.9,1080,2520,120.0,Punch Hole,2.0,50,1,10,No,Not Supported,,Not Specified
realme,Realme Narzo 80 Lite 5G,19490,53.0,True,False,False,MediaTek,Dimensity,Dimensity 6300,Octa Core,8.0,2.4,4.0,128.0,6000,15.0,True,6.67,720,1604,120.0,Punch Hole,2.0,32,1,8,Yes,Hybrid,2048.0,Android
samsung,Samsung Galaxy S25 Edge (12GB RAM + 512GB),79499,,True,True,False,Qualcomm,Snapdragon,Snapdragon 8 Elite,Octa Core,8.0,4.47,12.0,512.0,3900,25.0,True,6.7,1440,3120,120.0,Punch Hole,2.0,200,1,12,,,,Android
