index,brand_name,model,prices,rating,sim,has_5g,has_nfc,has_ir_blaster,processor,processor_model,cpu_core_type,cpu_clock_speed_ghz,ram,ram_capacity,internal_memory,battery,battrey_capacity,fast_charging_watt,fast_charging_supported,display,display_size_inches,display_resolution_width_px,display_resolution_height_px,display_refresh_rate_hz,display_notch_type,camera,rear_camera,rear_camera_count,rear_cam_1,rear_cam_2,rear_cam_3,rear_cam_4,rear_cam_5,rear_camera_special_feature,front_camera,front_camers_count,front_camera_primary,front_camera_dual,memory_card_supported,memory_card_slot_type,memory_card_max_gb,card,os,operating_system,num_core,processor_brand,processor_manufacturer
909,xiaomi,Xiaomi Mi 11 Lite,19990,55.0,"Dual Sim, 4G, VoLTE, Wi-Fi, IR Blaster",False,False,True,"Snapdragon 732G, Octa Core, 2.3 GHz Processor",Snapdragon 732G,Octa Core,2.3,"6 GB RAM, 128 GB inbuilt",6.0,128.0,4250 mAh Battery with 33W Fast Charging,4250,33.0,True,"6.55 inches, 1080 x 2400 px, 90 Hz Display with Punch Hole",6.55,1080,2400,90.0,Punch Hole,64 MP + 8 MP + 5 MP Triple Rear & 16 MP Front Camera,64 MP + 8 MP + 5 MP Triple Rear ,3.0,64,8,5,,,, 16 MP Front Camera,1,16,,Yes,Hybrid,512.0,"Memory Card (Hybrid), upto 512 GB",Android v11,Android,8.0,Snapdragon,Qualcomm
910,motorola,Motorola Moto G40 Fusion,16590,53.0,"Dual Sim, 4G, VoLTE, Wi-Fi",False,False,False,"Snapdragon  732G, Octa Core, 2.3 GHz Processor",Snapdragon  732G,Octa Core,2.3,"4 GB RAM, 64 GB inbuilt",4.0,64.0,6000 mAh Battery with 20W Fast Charging,6000,20.0,True,"6.78 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",6.78,1080,2460,120.0,Punch Hole,64 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,64 MP + 8 MP + 2 MP Triple Rear ,3.0,64,8,2,,,, 16 MP Front Camera,1,16,,Yes,Hybrid,256.0,"Memory Card (Hybrid), upto 256 GB",Android v11,Android,8.0,Snapdragon,Qualcomm
911,realme,Realme 7i (4GB RAM + 128GB),14999,50.0,"Dual Sim, 4G, VoLTE, Wi-Fi",False,False,False,"Snapdragon 662, Octa Core, 2 GHz Processor",Snapdragon 662,Octa Core,2.0,"4 GB RAM, 128 GB inbuilt",4.0,128.0,5000 mAh Battery with 18W Fast Charging,5000,18.0,True,"6.5 inches, 720 x 1600 px, 90 Hz Display with Punch Hole",6.5,720,1600,90.0,Punch Hole,64 MP Quad Rear & 16 MP Front Camera,64 MP Quad Rear ,4.0,64,,,,,, 16 MP Front Camera,1,16,,Yes,Dedicated,256.0,"Memory Card Supported, upto 256 GB",Android v10,Android,8.0,Snapdragon,Qualcomm
912,nokia,Nokia 5310 Dual Sim,3689,,Dual Sim,False,False,False,,,,,"8 MB RAM, 16 MB inbuilt",8.0,16.0,1200 mAh Battery,1200,,False,"2.4 inches, 240 x 320 px Display",2.4,240,320,,,0.3 MP Rear Camera,0.3 MP Rear Camera,1.0,0.3,,,,,,,1,,,Yes,Dedicated,32.0,"Memory Card Supported, upto 32 GB",,S30+ / Feature OS,,,
913,oneplus,OnePlus 7T (8GB RAM + 256GB),29999,61.0,"Dual Sim, 4G, VoLTE, NFC, Wi-Fi",False,True,False,"Snapdragon  855+, Octa Core, 2.96 GHz Processor",Snapdragon  855+,Octa Core,2.96,"8 GB RAM, 256 GB inbuilt",8.0,256.0,3800 mAh Battery with 30W Fast Charging,3800,30.0,True,"6.55 inches, 1080 x 2400 px Display with Water Drop Notch",6.55,1080,2400,,Water Drop Notch,48 MP + 16 MP + 12 MP Triple Rear & 16 MP Front Camera,48 MP + 16 MP + 12 MP Triple Rear ,3.0,48,16,12,,,, 16 MP Front Camera,1,16,,No,Not Supported,,Memory Card Not Supported,Android v10.0,Android,8.0,Snapdragon,Qualcomm
914,vivo,Vivo S1 (6GB RAM + 128GB),22999,,"Dual Sim, 4G, VoLTE, Wi-Fi",False,False,False,"Helio  P65 , Octa Core, 2 GHz Processor",Helio  P65 ,Octa Core,2.0,"6 GB RAM, 128 GB inbuilt",6.0,128.0,4500 mAh Battery with 18W Fast Charging,4500,18.0,True,"6.38 inches, 1080 x 2340 px Display with Water Drop Notch",6.38,1080,2340,,Water Drop Notch,16 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,16 MP + 8 MP + 2 MP Triple Rear ,3.0,16,8,2,,,, 32 MP Front Camera,1,32,,Yes,Dedicated,256.0,"Memory Card Supported, upto 256 GB",Android v9.0 (Pie),Android,8.0,Helio,MediaTek
915,realme,Realme 5 (4GB RAM + 64GB),11999,,"Dual Sim, 4G, VoLTE, Wi-Fi",False,False,False,"Snapdragon  665, Octa Core, 2 GHz Processor",Snapdragon  665,Octa Core,2.0,"4 GB RAM, 64 GB inbuilt",4.0,64.0,5000 mAh Battery,5000,,False,"6.5 inches, 720 x 1600 px Display with Water Drop Notch",6.5,720,1600,,Water Drop Notch,12 MP Quad Rear & 13 MP Front Camera,12 MP Quad Rear ,4.0,12,,,,,, 13 MP Front Camera,1,13,,Yes,Dedicated,256.0,"Memory Card Supported, upto 256 GB",Android v9.0 (Pie),Android,8.0,Snapdragon,Qualcomm
916,oneplus,OnePlus 7,31999,55.0,"Dual Sim, 4G, VoLTE, NFC, Wi-Fi",False,True,False,"Snapdragon 855, Octa Core, 2.84 GHz Processor",Snapdragon 855,Octa Core,2.84,"6 GB RAM, 128 GB inbuilt",6.0,128.0,3700 mAh Battery with 20W Fast Charging,3700,20.0,True,"6.41 inches, 1080 x 2340 px Display with Water Drop Notch",6.41,1080,2340,,Water Drop Notch,48 MP + 5 MP Dual Rear & 16 MP Front Camera,48 MP + 5 MP Dual Rear ,2.0,48,5,,,,, 16 MP Front Camera,1,16,,No,Not Supported,,Memory Card Not Supported,Android v9.0 (Pie),Android,8.0,Snapdragon,Qualcomm
917,realme,Realme 3 Pro,15999,,"Dual Sim, 4G, VoLTE, Wi-Fi",False,False,False,"Qualcomm Snapdragon 710 AIE, Octa Core, 2.2 GHz Processor",Qualcomm Snapdragon 710 AIE,Octa Core,2.2,"4 GB RAM, 64 GB inbuilt",4.0,64.0,4045 mAh Battery with Fast Charging,4045,,True,"6.3 inches, 1080 x 2340 px Display with Water Drop Notch",6.3,1080,2340,,Water Drop Notch,16 MP + 5 MP Dual Rear & 25 MP Front Camera,16 MP + 5 MP Dual Rear ,2.0,16,5,,,,, 25 MP Front Camera,1,25,,Yes,Dedicated,256.0,"Memory Card Supported, upto 256 GB",Android v9.0 (Pie),Android,8.0,Qualcomm,Qualcomm
918,apple,Apple iPhone 8 (256GB),77000,,"Single Sim, 4G, VoLTE, NFC, Wi-Fi",False,True,False,"Apple A11, Hexa Core, 2.39 GHz Processor",Apple A11,Hexa Core,2.39,"2 GB RAM, 256 GB inbuilt",2.0,256.0,1821 mAh Battery with Fast Charging,1821,,True,"4.7 inches, 750 x 1334 px Display",4.7,750,1334,,,12 MP Rear & 7 MP Front Camera,12 MP Rear ,1.0,12,,,,,, 7 MP Front Camera,1,7,,No,Not Supported,,Memory Card Not Supported,iOS v11,iOS,6.0,Apple,Apple
