index,brand_name,model,prices,rating,sim,has_5g,has_nfc,has_ir_blaster,processor,processor_model,cpu_core_type,cpu_clock_speed_ghz,ram,ram_capacity,internal_memory,battery,battrey_capacity,fast_charging_watt,fast_charging_supported,display,display_size_inches,display_resolution_width_px,display_resolution_height_px,display_refresh_rate_hz,display_notch_type,camera,rear_camera,rear_camera_count,rear_cam_1,rear_cam_2,rear_cam_3,rear_cam_4,rear_cam_5,rear_camera_special_feature,front_camera,front_camers_count,front_camera_primary,front_camera_dual,memory_card_supported,memory_card_slot_type,memory_card_max_gb,card,os,operating_system,num_core,processor_brand,processor_manufacturer
2,motorola,Motorola Edge 70 Fusion,27589,70.0,"Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi",True,True,False,"Snapdragon 7s Gen4, Octa Core, 2.7 GHz Processor",Snapdragon 7s Gen4,Octa Core,2.7,"8 GB RAM, 128 GB inbuilt",8.0,128.0,7000 mAh Battery with 68W Fast Charging,7000,68.0,True,"6.8 inches, 1272 x 2772 px, 144 Hz Display with Punch Hole",6.8,1272,2772,144.0,Punch Hole,50 MP + 13 MP + Dedicated 3-in-1 light sensor Triple Rear & 32 MP Front Camera,50 MP + 13 MP + Dedicated 3-in-1 light sensor Triple Rear ,3.0,50,13,,,,Dedicated 3-in-1 light sensor, 32 MP Front Camera,1,32,,,,,,Android v16,Android,8.0,Snapdragon,Qualcomm
3,xiaomi,Xiaomi Redmi Note 17 Pro Max,49999,,"Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi, IR Blaster",True,True,True,"Snapdragon 6 Gen5, Octa Core, 2.6 GHz Processor",Snapdragon 6 Gen5,Octa Core,2.6,"8 GB RAM, 256 GB inbuilt",8.0,256.0,10000 mAh Battery with 100W Fast Charging,10000,100.0,True,"6.83 inches, 1280 x 2772 px, 120 Hz Display with Punch Hole",6.83,1280,2772,120.0,Punch Hole,50 MP + 8 MP Dual Rear & 32 MP Front Camera,50 MP + 8 MP Dual Rear ,2.0,50,8,,,,, 32 MP Front Camera,1,32,,,,,,Android v16,Android,8.0,Snapdragon,Qualcomm
4,realme,Realme P3 5G,15999,61.0,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi",True,True,False,"Snapdragon 6 Gen4, Octa Core, 2.3 GHz Processor",Snapdragon 6 Gen4,Octa Core,2.3,"6 GB RAM, 128 GB inbuilt",6.0,128.0,6000 mAh Battery with 45W Fast Charging,6000,45.0,True,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",6.67,1080,2400,120.0,Punch Hole,50 MP + 2 MP Dual Rear & 16 MP Front Camera,50 MP + 2 MP Dual Rear ,2.0,50,2,,,,, 16 MP Front Camera,1,16,,,,,,Android v15,Android,8.0,Snapdragon,Qualcomm
5,apple,Apple iPhone 18 Pro,164900,,"Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi",True,True,False,"Apple A20 Pro, Hexa Core Processor",Apple A20 Pro,Hexa Core,,"12 GB RAM, 256 GB inbuilt",12.0,256.0,4056 mAh Battery with Fast Charging,4056,,True,"6.3 inches, 1206 x 2622 px, 120 Hz Display with Dynamic Island",6.3,1206,2622,120.0,Dynamic Island,48 MP + 48 MP + 48 MP Triple Rear & 18 MP Front Camera,48 MP + 48 MP + 48 MP Triple Rear ,3.0,48,48,48,,,, 18 MP Front Camera,1,18,,No,Not Supported,,Memory Card Not Supported,iOS v27,iOS,6.0,Apple,Apple
6,realme,Realme P3 Pro 5G (12GB RAM +256GB),23999,66.0,"Dual Sim, 5G, VoLTE, Wi-Fi",True,False,False,"Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor",Snapdragon 7s Gen3,Octa Core,2.5,"12 GB RAM, 256 GB inbuilt",12.0,256.0,6000 mAh Battery with 80W Fast Charging,6000,80.0,True,"6.83 inches, 1272 x 2800 px, 120 Hz Display with Punch Hole",6.83,1272,2800,120.0,Punch Hole,50 MP + 2 MP Dual Rear & 16 MP Front Camera,50 MP + 2 MP Dual Rear ,2.0,50,2,,,,, 16 MP Front Camera,1,16,,,,,,Android v15,Android,8.0,Snapdragon,Qualcomm
7,xiaomi,Xiaomi Redmi Note 17 Pro,36999,71.0,"Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi, IR Blaster",True,True,True,"Snapdragon 6s Gen4, Octa Core, 2.4 GHz Processor",Snapdragon 6s Gen4,Octa Core,2.4,"6 GB RAM, 128 GB inbuilt",6.0,128.0,9000 mAh Battery with 67W Fast Charging,9000,67.0,True,"6.83 inches, 1280 x 2772 px, 120 Hz Display with Punch Hole",6.83,1280,2772,120.0,Punch Hole,50 MP + 8 MP Dual Rear & 16 MP Front Camera,50 MP + 8 MP Dual Rear ,2.0,50,8,,,,, 16 MP Front Camera,1,16,,,,,,Android v16,Android,8.0,Snapdragon,Qualcomm
8,apple,Apple iPhone 17,82900,76.0,"Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi",True,True,False,"Apple A19, Hexa Core Processor",Apple A19,Hexa Core,,"8 GB RAM, 256 GB inbuilt",8.0,256.0,3692 mAh Battery with Fast Charging,3692,,True,"6.3 inches, 1206 x 2622 px, 120 Hz Display with Small Notch",6.3,1206,2622,120.0,Small Notch,48 MP + 48 MP Dual Rear & 18 MP Front Camera,48 MP + 48 MP Dual Rear ,2.0,48,48,,,,, 18 MP Front Camera,1,18,,No,Not Supported,,Memory Card Not Supported,iOS v26,iOS,6.0,Apple,Apple
9,xiaomi,Xiaomi Redmi 17 5G,23999,61.0,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster",True,True,True,"Snapdragon 4 Gen5, Octa Core, 2.4 GHz Processor",Snapdragon 4 Gen5,Octa Core,2.4,"6 GB RAM, 128 GB inbuilt",6.0,128.0,7900 mAh Battery with 45W Fast Charging,7900,45.0,True,"6.9 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",6.9,720,1600,120.0,Punch Hole,50 MP + Auxiliary lens Dual Rear & 8 MP Front Camera,50 MP + Auxiliary lens Dual Rear ,2.0,50,,,,,Auxiliary lens, 8 MP Front Camera,1,8,,Yes,Hybrid,2048.0,"Memory Card (Hybrid), upto 2 TB",Android v16,Android,8.0,Snapdragon,Qualcomm
10,oneplus,OnePlus Nord 5 5G,31999,75.0,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster",True,True,True,"Snapdragon 8s Gen3, Octa Core, 3 GHz Processor",Snapdragon 8s Gen3,Octa Core,3.0,"8 GB RAM, 256 GB inbuilt",8.0,256.0,6800 mAh Battery with 80W Fast Charging,6800,80.0,True,"6.83 inches, 1272 x 2800 px, 144 Hz Display with Punch Hole",6.83,1272,2800,144.0,Punch Hole,50 MP + 8 MP Dual Rear & 50 MP Front Camera,50 MP + 8 MP Dual Rear ,2.0,50,8,,,,, 50 MP Front Camera,1,50,,,,,,Android v15,Android,8.0,Snapdragon,Qualcomm
11,vivo,Vivo T5 5G,34999,71.0,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster",True,False,True,"Dimensity 7500 Turbo, Octa Core, 2.6 GHz Processor",Dimensity 7500 Turbo,Octa Core,2.6,"6 GB RAM, 128 GB inbuilt",6.0,128.0,7050 mAh Battery with 44W Fast Charging,7050,44.0,True,"6.83 inches, 1260 x 2800 px, 144 Hz Display with Punch Hole",6.83,1260,2800,144.0,Punch Hole,50 MP + 8 MP Dual Rear & 32 MP Front Camera,50 MP + 8 MP Dual Rear ,2.0,50,8,,,,, 32 MP Front Camera,1,32,,No,Not Supported,,Memory Card Not Supported,Android v16,Android,8.0,Dimensity,MediaTek
12,vivo,Vivo T4 5G,24999,66.0,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster",True,False,True,"Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor",Snapdragon 7s Gen3,Octa Core,2.5,"8 GB RAM, 128 GB inbuilt",8.0,128.0,7300 mAh Battery with 90W Fast Charging,7300,90.0,True,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",6.77,1080,2392,120.0,Punch Hole,50 MP + 2 MP Dual Rear & 32 MP Front Camera,50 MP + 2 MP Dual Rear ,2.0,50,2,,,,, 32 MP Front Camera,1,32,,No,Not Supported,,Memory Card Not Supported,Android v15,Android,8.0,Snapdragon,Qualcomm
13,samsung,Samsung Galaxy F16 5G (6GB RAM + 128GB),13999,55.0,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi",True,True,False,"Dimensity 6300, Octa Core, 2.4 GHz Processor",Dimensity 6300,Octa Core,2.4,"6 GB RAM, 128 GB inbuilt",6.0,128.0,5000 mAh Battery with 25W Fast Charging,5000,25.0,True,"6.7 inches, 1080 x 2340 px, 90 Hz Display with Punch Hole",6.7,1080,2340,90.0,Punch Hole,50 MP + 5 MP + 2 MP Triple Rear & 13 MP Front Camera,50 MP + 5 MP + 2 MP Triple Rear ,3.0,50,5,2,,,, 13 MP Front Camera,1,13,,Yes,Hybrid,1536.0,"Memory Card (Hybrid), upto 1.5 TB",Android v15,Android,8.0,Dimensity,MediaTek
14,vivo,Vivo T4 Ultra (12GB RAM+ 256GB),37999,75.0,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi",True,True,False,"Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor",Dimensity 9300 Plus,Octa Core,3.25,"12 GB RAM, 256 GB inbuilt",12.0,256.0,5500 mAh Battery with 90W Fast Charging,5500,90.0,True,"6.67 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",6.67,1260,2800,120.0,Punch Hole,50 MP + 50 MP + 8 MP Triple Rear & 32 MP Front Camera,50 MP + 50 MP + 8 MP Triple Rear ,3.0,50,50,8,,,, 32 MP Front Camera,1,32,,No,Not Supported,,Memory Card Not Supported,Android v15,Android,8.0,Dimensity,MediaTek
15,apple,Apple iPhone 18 Pro Max,179900,,"Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi",True,True,False,"Apple A20 Pro, Hexa Core Processor",Apple A20 Pro,Hexa Core,,"12 GB RAM, 256 GB inbuilt",12.0,256.0,5391 mAh Battery with Fast Charging,5391,,True,"6.9 inches, 1320 x 2868 px, 120 Hz Display with Dynamic Island",6.9,1320,2868,120.0,Dynamic Island,48 MP + 48 MP + 48 MP Triple Rear & 18 MP Front Camera,48 MP + 48 MP + 48 MP Triple Rear ,3.0,48,48,48,,,, 18 MP Front Camera,1,18,,No,Not Supported,,Memory Card Not Supported,iOS v27,iOS,6.0,Apple,Apple
16,motorola,Motorola Moto G34 5G (8GB RAM + 128GB),14999,55.0,"Dual Sim, 5G, VoLTE, Vo5G, Wi-Fi",True,False,False,"Snapdragon 695, Octa Core, 2.2 GHz Processor",Snapdragon 695,Octa Core,2.2,"8 GB RAM, 128 GB inbuilt",8.0,128.0,5000 mAh Battery with 18W Fast Charging,5000,18.0,True,"6.5 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",6.5,720,1600,120.0,Punch Hole,50 MP + 2 MP Dual Rear & 16 MP Front Camera,50 MP + 2 MP Dual Rear ,2.0,50,2,,,,, 16 MP Front Camera,1,16,,Yes,Hybrid,1024.0,"Memory Card (Hybrid), upto 1 TB",Android v14,Android,8.0,Snapdragon,Qualcomm
17,realme,Realme P1 5G,13999,58.0,"Dual Sim, 5G, VoLTE, Wi-Fi",True,False,False,"Dimensity 7050, Octa Core, 2.6 GHz Processor",Dimensity 7050,Octa Core,2.6,"6 GB RAM, 128 GB inbuilt",6.0,128.0,5000 mAh Battery with 45W Fast Charging,5000,45.0,True,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",6.67,1080,2400,120.0,Punch Hole,50 MP + 2 MP Dual Rear & 16 MP Front Camera,50 MP + 2 MP Dual Rear ,2.0,50,2,,,,, 16 MP Front Camera,1,16,,Yes,Hybrid,2048.0,"Memory Card (Hybrid), upto 2 TB",Android v14,Android,8.0,Dimensity,MediaTek
18,oppo,Oppo K13 Turbo (8GB RAM + 256GB),33299,70.0,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster",True,False,True,"Dimensity 8450, Octa Core, 3.25 GHz Processor",Dimensity 8450,Octa Core,3.25,"8 GB RAM, 256 GB inbuilt",8.0,256.0,7000 mAh Battery with 80W Fast Charging,7000,80.0,True,"6.8 inches, 1280 x 2800 px, 120 Hz Display with Punch Hole",6.8,1280,2800,120.0,Punch Hole,50 MP + 2 MP Dual Rear & 16 MP Front Camera,50 MP + 2 MP Dual Rear ,2.0,50,2,,,,, 16 MP Front Camera,1,16,,No,Not Supported,,Memory Card Not Supported,Android v15,Android,8.0,Dimensity,MediaTek
19,samsung,Samsung Galaxy S25 Ultra,99999,,"Dual Sim, 5G, VoLTE, Vo5G, NFC, eSIM, Wi-Fi",True,True,False,"Snapdragon 8 Elite for Galaxy, Octa Core, 4.47 GHz Processor",Snapdragon 8 Elite for Galaxy,Octa Core,4.47,"12 GB RAM, 256 GB inbuilt",12.0,256.0,5000 mAh Battery with 45W Fast Charging,5000,45.0,True,"6.9 inches, 1440 x 3120 px, 120 Hz Display with Punch Hole",6.9,1440,3120,120.0,Punch Hole,200 MP Quad Rear & 12 MP Front Camera,200 MP Quad Rear ,4.0,200,,,,,, 12 MP Front Camera,1,12,,No,Not Supported,,Memory Card Not Supported,Android v15,Android,8.0,Snapdragon,Qualcomm
20,xiaomi,Xiaomi Redmi 13 5G,12499,58.0,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster",True,False,True,"Snapdragon 4 Gen 2 AE, Octa Core, 2.3 GHz Processor",Snapdragon 4 Gen 2 AE,Octa Core,2.3,"6 GB RAM, 128 GB inbuilt",6.0,128.0,5030 mAh Battery with 33W Fast Charging,5030,33.0,True,"6.79 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",6.79,1080,2460,120.0,Punch Hole,108 MP + Macro Dual Rear & 13 MP Front Camera,108 MP + Macro Dual Rear ,2.0,108,,,,,Macro, 13 MP Front Camera,1,13,,Yes,Hybrid,1024.0,"Memory Card (Hybrid), upto 1 TB",Android v14,Android,8.0,Snapdragon,Qualcomm
21,motorola,Motorola Edge 60 Fusion,24999,67.0,"Dual Sim, 5G, VoLTE, Vo5G, Wi-Fi",True,False,False,"Dimensity 7400, Octa Core, 2.5 GHz Processor",Dimensity 7400,Octa Core,2.5,"8 GB RAM, 256 GB inbuilt",8.0,256.0,5500 mAh Battery with 68W Fast Charging,5500,68.0,True,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",6.7,1220,2712,120.0,Punch Hole,50 MP + 13 MP Dual Rear & 32 MP Front Camera,50 MP + 13 MP Dual Rear ,2.0,50,13,,,,, 32 MP Front Camera,1,32,,Yes,Hybrid,1024.0,"Memory Card (Hybrid), upto 1 TB",Android v15,Android,8.0,Dimensity,MediaTek
22,realme,Realme P3x 5G (8GB RAM + 128GB),13999,57.0,"Dual Sim, 5G, VoLTE, Wi-Fi",True,False,False,"Dimensity 6400, Octa Core, 2.5 GHz Processor",Dimensity 6400,Octa Core,2.5,"8 GB RAM, 128 GB inbuilt",8.0,128.0,6000 mAh Battery with 45W Fast Charging,6000,45.0,True,"6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",6.72,1080,2400,120.0,Punch Hole,50 MP + 2 MP Dual Rear & 8 MP Front Camera,50 MP + 2 MP Dual Rear ,2.0,50,2,,,,, 8 MP Front Camera,1,8,,Yes,Hybrid,,Memory Card (Hybrid),Android v15,Android,8.0,Dimensity,MediaTek
23,oppo,Oppo K13 (8GB RAM + 256GB),23999,63.0,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster",True,False,True,"Snapdragon 6 Gen4, Octa Core, 2.3 GHz Processor",Snapdragon 6 Gen4,Octa Core,2.3,"8 GB RAM, 256 GB inbuilt",8.0,256.0,7000 mAh Battery with 80W Fast Charging,7000,80.0,True,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",6.67,1080,2400,120.0,Punch Hole,50 MP + 2 MP Dual Rear & 16 MP Front Camera,50 MP + 2 MP Dual Rear ,2.0,50,2,,,,, 16 MP Front Camera,1,16,,,,,,Android v15,Android,8.0,Snapdragon,Qualcomm
24,apple,Apple iPhone Duo,299900,,"Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi",True,True,False,"Apple A20 Pro, Hexa Core Processor",Apple A20 Pro,Hexa Core,,"12 GB RAM, 256 GB inbuilt",12.0,256.0,5800 mAh Battery with Fast Charging,5800,,True,"7.6 inches, 1878 x 2670 px, 120 Hz Display",7.6,1878,2670,120.0,,48 MP + 48 MP Dual Rear & 12 MP + Under-display FaceTime Camera Dual Front Camera,48 MP + 48 MP Dual Rear ,2.0,48,48,,,,, 12 MP + Under-display FaceTime Camera Dual Front Camera,2,12,Under-display FaceTime Camera Dual Front Camera,No,Not Supported,,Memory Card Not Supported,,iOS,6.0,Apple,Apple
25,motorola,Motorola Edge 70 Pro,39649,,"Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi",True,True,False,"Dimensity 8500 Extreme, Octa Core, 3.4 GHz Processor",Dimensity 8500 Extreme,Octa Core,3.4,"8 GB RAM, 256 GB inbuilt",8.0,256.0,6500 mAh Battery with 90W Fast Charging,6500,90.0,True,"6.8 inches, 1272 x 2772 px, 144 Hz Display with Punch Hole",6.8,1272,2772,144.0,Punch Hole,50 MP + 50 MP Dual Rear & 50 MP Front Camera,50 MP + 50 MP Dual Rear ,2.0,50,50,,,,, 50 MP Front Camera,1,50,,,,,,Android v16,Android,8.0,Dimensity,MediaTek
26,realme,Realme P3 5G (8GB RAM + 128GB),16999,63.0,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi",True,True,False,"Snapdragon 6 Gen4, Octa Core, 2.3 GHz Processor",Snapdragon 6 Gen4,Octa Core,2.3,"8 GB RAM, 128 GB inbuilt",8.0,128.0,6000 mAh Battery with 45W Fast Charging,6000,45.0,True,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",6.67,1080,2400,120.0,Punch Hole,50 MP + 2 MP Dual Rear & 16 MP Front Camera,50 MP + 2 MP Dual Rear ,2.0,50,2,,,,, 16 MP Front Camera,1,16,,,,,,Android v15,Android,8.0,Snapdragon,Qualcomm
27,motorola,Motorola Edge 60 Pro,29999,76.0,"Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi",True,True,False,"Dimensity 8350 Extreme, Octa Core, 3.35 GHz Processor",Dimensity 8350 Extreme,Octa Core,3.35,"8 GB RAM, 256 GB inbuilt",8.0,256.0,6000 mAh Battery with 90W Fast Charging,6000,90.0,True,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",6.7,1220,2712,120.0,Punch Hole,50 MP + 50 MP + 10 MP Triple Rear & 50 MP Front Camera,50 MP + 50 MP + 10 MP Triple Rear ,3.0,50,50,10,,,, 50 MP Front Camera,1,50,,,,,,Android v15,Android,8.0,Dimensity,MediaTek
28,realme,Realme P4 Pro 5G,28999,71.0,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster",True,False,True,"Snapdragon 7 Gen 4, Octa Core Processor",Snapdragon 7 Gen 4,Octa Core,,"8 GB RAM, 128 GB inbuilt",8.0,128.0,7000 mAh Battery with 80W Fast Charging,7000,80.0,True,"6.8 inches, 1280 x 2800 px, 144 Hz Display with Punch Hole",6.8,1280,2800,144.0,Punch Hole,50 MP + 8 MP Dual Rear & 50 MP Front Camera,50 MP + 8 MP Dual Rear ,2.0,50,8,,,,, 50 MP Front Camera,1,50,,,,,,Android v15,Android,8.0,Snapdragon,Qualcomm
29,samsung,Samsung Galaxy A17 5G,19499,58.0,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi",True,True,False,"Exynos 1330, Octa Core, 2.4 GHz Processor",Exynos 1330,Octa Core,2.4,"6 GB RAM, 128 GB inbuilt",6.0,128.0,5000 mAh Battery with 25W Fast Charging,5000,25.0,True,"6.7 inches, 1080 x 2340 px, 90 Hz Display with Water Drop Notch",6.7,1080,2340,90.0,Water Drop Notch,50 MP + 5 MP + 2 MP Triple Rear & 13 MP Front Camera,50 MP + 5 MP + 2 MP Triple Rear ,3.0,50,5,2,,,, 13 MP Front Camera,1,13,,Yes,Hybrid,2048.0,"Memory Card (Hybrid), upto 2 TB",Android v15,Android,8.0,Exynos,Samsung
30,samsung,Samsung Galaxy S25 FE,57990,75.0,"Dual Sim, 5G, VoLTE, Vo5G, NFC, eSIM, Wi-Fi",True,True,False,"Exynos 2400, Deca Core, 3.2 GHz Processor",Exynos 2400,Deca Core,3.2,"8 GB RAM, 128 GB inbuilt",8.0,128.0,4900 mAh Battery with 45W Fast Charging,4900,45.0,True,"6.7 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",6.7,1080,2340,120.0,Punch Hole,50 MP + 12 MP + 8 MP Triple Rear & 12 MP Front Camera,50 MP + 12 MP + 8 MP Triple Rear ,3.0,50,12,8,,,, 12 MP Front Camera,1,12,,No,Not Supported,,Memory Card Not Supported,Android v16,Android,10.0,Exynos,Samsung
31,motorola,Motorola Edge 60 Stylus,20560,67.0,"Dual Sim, 5G, VoLTE, Vo5G, NFC, eSIM, Wi-Fi",True,True,False,"Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor",Snapdragon 7s Gen2,Octa Core,2.4,"8 GB RAM, 256 GB inbuilt",8.0,256.0,5000 mAh Battery with 68W Fast Charging,5000,68.0,True,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",6.7,1220,2712,120.0,Punch Hole,50 MP + 13 MP Dual Rear & 32 MP Front Camera,50 MP + 13 MP Dual Rear ,2.0,50,13,,,,, 32 MP Front Camera,1,32,,Yes,Dedicated,1024.0,"Memory Card Supported, upto 1 TB",Android v15,Android,8.0,Snapdragon,Qualcomm
32,poco,Poco X8 Power 5G,35999,75.0,"Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi, IR Blaster",True,True,True,"Snapdragon 6 Gen5, Octa Core, 2.4 GHz Processor",Snapdragon 6 Gen5,Octa Core,2.4,"8 GB RAM, 128 GB inbuilt",8.0,128.0,10000 mAh Battery with 100W Fast Charging,10000,100.0,True,"6.83 inches, 1280 x 2772 px, 120 Hz Display with Punch Hole",6.83,1280,2772,120.0,Punch Hole,50 MP + 8 MP Dual Rear & 32 MP Front Camera,50 MP + 8 MP Dual Rear ,2.0,50,8,,,,, 32 MP Front Camera,1,32,,,,,,Android v16,Android,8.0,Snapdragon,Qualcomm
33,oneplus,OnePlus Nord 6,46999,,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster",True,True,True,"Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor",Snapdragon 8s Gen4,Octa Core,3.2,"8 GB RAM, 256 GB inbuilt",8.0,256.0,9000 mAh Battery with 80W Fast Charging,9000,80.0,True,"6.78 inches, 1272 x 2772 px, 165 Hz Display with Punch Hole",6.78,1272,2772,165.0,Punch Hole,50 MP + 8 MP Dual Rear & 32 MP Front Camera,50 MP + 8 MP Dual Rear ,2.0,50,8,,,,, 32 MP Front Camera,1,32,,No,Not Supported,,Memory Card Not Supported,Android v16,Android,8.0,Snapdragon,Qualcomm
34,samsung,Samsung Galaxy A36 5G,28000,64.0,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi",True,True,False,"Snapdragon 6 Gen3, Octa Core, 2.4 GHz Processor",Snapdragon 6 Gen3,Octa Core,2.4,"8 GB RAM, 128 GB inbuilt",8.0,128.0,5000 mAh Battery with 45W Fast Charging,5000,45.0,True,"6.7 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",6.7,1080,2340,120.0,Punch Hole,50 MP + 8 MP + 5 MP Triple Rear & 12 MP Front Camera,50 MP + 8 MP + 5 MP Triple Rear ,3.0,50,8,5,,,, 12 MP Front Camera,1,12,,,,,,Android v15,Android,8.0,Snapdragon,Qualcomm
35,oppo,OPPO K14 Lite,16999,,"Dual Sim, 4G, VoLTE, Wi-Fi",False,False,False,"Unisoc T7250, Octa Core Processor",Unisoc T7250,Octa Core,,"4 GB RAM, 64 GB inbuilt",4.0,64.0,7000 mAh Battery with 15W Fast Charging,7000,15.0,True,"6.75 inches, 720 x 1570 px, 120 Hz Display with Water Drop Notch",6.75,720,1570,120.0,Water Drop Notch,13 MP Dual Rear & 5 MP Front Camera,13 MP Dual Rear ,2.0,13,,,,,, 5 MP Front Camera,1,5,,Yes,Hybrid,,Memory Card (Hybrid),Android v16,Android,8.0,Unisoc,Unisoc
36,xiaomi,Xiaomi Redmi Note 14,16499,63.0,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster",True,False,True,"Dimensity 7025 Ultra, Octa Core, 2.5 GHz Processor",Dimensity 7025 Ultra,Octa Core,2.5,"6 GB RAM, 128 GB inbuilt",6.0,128.0,5110 mAh Battery with 45W Fast Charging,5110,45.0,True,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",6.67,1080,2400,120.0,Punch Hole,50 MP + 8 MP + 2 MP Triple Rear & 20 MP Front Camera,50 MP + 8 MP + 2 MP Triple Rear ,3.0,50,8,2,,,, 20 MP Front Camera,1,20,,Yes,Hybrid,1024.0,"Memory Card (Hybrid), upto 1 TB",Android v14,Android,8.0,Dimensity,MediaTek
37,realme,Realme GT 7T (12GB RAM + 256GB),34499,77.0,"Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi, IR Blaster",True,True,True,"Dimensity 8400-MAX, Octa Core, 3.25 GHz Processor",Dimensity 8400-MAX,Octa Core,3.25,"12 GB RAM, 256 GB inbuilt",12.0,256.0,7000 mAh Battery with 120W Fast Charging,7000,120.0,True,"6.8 inches, 1280 x 2800 px, 120 Hz Display with Punch Hole",6.8,1280,2800,120.0,Punch Hole,50 MP + 8 MP Dual Rear & 32 MP Front Camera,50 MP + 8 MP Dual Rear ,2.0,50,8,,,,, 32 MP Front Camera,1,32,,No,Not Supported,,Memory Card Not Supported,Android v15,Android,8.0,Dimensity,MediaTek
38,samsung,Samsung Galaxy S26 Ultra 5G,130999,,"Dual Sim, 5G, VoLTE, Vo5G, NFC, eSIM, Wi-Fi",True,True,False,"Snapdragon 8 Elite Gen 5 for Galaxy, Octa Core, 4.74 GHz Processor",Snapdragon 8 Elite Gen 5 for Galaxy,Octa Core,4.74,"12 GB RAM, 256 GB inbuilt",12.0,256.0,5000 mAh Battery with 60W Fast Charging,5000,60.0,True,"6.9 inches, 1440 x 3120 px, 120 Hz Display with Punch Hole",6.9,1440,3120,120.0,Punch Hole,200 MP Quad Rear & 12 MP Front Camera,200 MP Quad Rear ,4.0,200,,,,,, 12 MP Front Camera,1,12,,No,Not Supported,,Memory Card Not Supported,Android v16,Android,8.0,Snapdragon,Qualcomm
39,vivo,Vivo V70 5G,59999,,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster",True,True,True,"Snapdragon 7 Gen4, Octa Core, 2.8 GHz Processor",Snapdragon 7 Gen4,Octa Core,2.8,"8 GB RAM, 256 GB inbuilt",8.0,256.0,6500 mAh Battery with 90W Fast Charging,6500,90.0,True,"6.59 inches, 1260 x 2750 px, 120 Hz Display with Punch Hole",6.59,1260,2750,120.0,Punch Hole,50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,50 MP + 50 MP + 8 MP Triple Rear ,3.0,50,50,8,,,, 50 MP Front Camera,1,50,,No,Not Supported,,Memory Card Not Supported,Android v16,Android,8.0,Snapdragon,Qualcomm
